Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Karvy Financial Services,3.9,315,"Work Life Balance, Company Culture, Job Security",1.3k,12,--,29,--
Mahindra Truck and Bus,3.8,315,"Work Life Balance, Job Security",1k,10,--,2,--
Western Digital,3.4,315,"Promotions / Appraisal, Work Satisfaction, Job Security",2.9k,53,15,26,2
Iconic,4.1,315,"Salary & Benefits, Skill Development / Learning, Company Culture",900,35,14,20,2
Kpmg Resource Centre,3.4,315,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2k,27,--,12,2
Balrampur Chini Mills,3.9,315,Salary & Benefits,889,25,--,15,2
Red Tape,3.2,315,"Job Security, Company Culture, Promotions / Appraisal",1.1k,21,--,3,8
ISMT,3.8,314,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.1k,19,--,15,--
Angelique International,4.5,314,"Company Culture, Work Life Balance, Work Satisfaction",995,13,3,34,--
ESAB,4.0,314,"Job Security, Work Life Balance",1.4k,25,6,38,--
Can Fin Homes,2.9,314,"Company Culture, Work Satisfaction, Work Life Balance",1k,21,1,17,--
VGM Consultants,3.2,315,"Promotions / Appraisal, Salary & Benefits, Company Culture",1k,18,2,7,--
KEPCO Plant Service & Engineering,3.7,314,"Promotions / Appraisal, Job Security, Company Culture",1k,15,3,26,--
Pps Motors,4.1,314,"Work Life Balance, Salary & Benefits, Company Culture",994,15,--,7,1
Honda India Power Products,4.1,315,"Job Security, Work Life Balance, Company Culture",1.1k,26,--,26,1
MIOT INTERNATIONAL,3.3,314,"Promotions / Appraisal, Company Culture, Job Security",1.2k,17,9,18,5
Tata Tele Business Services,3.4,314,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.5k,19,49,15,--
MobileComm Technologies India,3.8,314,Promotions / Appraisal,1k,16,--,26,--
Smaaash Entertainment,4.2,313,"Salary & Benefits, Work Life Balance, Work Satisfaction",720,31,--,32,--
BYJU'S Exam Prep,3.7,313,"Job Security, Promotions / Appraisal",1.1k,25,--,30,11
Markelytics Solutions,4.6,313,"Company Culture, Work Life Balance, Skill Development / Learning",347,2,5,60,--
VSoft Technologies,3.2,313,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.4k,11,--,13,--
KLJ GROUP,3.3,313,"Company Culture, Promotions / Appraisal, Work Satisfaction",1.4k,18,4,11,7
Aabasoft,3.9,313,"Company Culture, Job Security, Skill Development / Learning",787,42,37,106,9
Jorie Healthcare,4.0,313,"Company Culture, Work Life Balance, Job Security",428,10,--,3,--
1K Networks,3.2,313,"Job Security, Promotions / Appraisal, Company Culture",1.2k,25,--,17,--
Senvion,4.1,313,"Work Life Balance, Job Security, Company Culture",1.4k,24,2,12,6
EqualizeRCM Services,3.8,314,"Promotions / Appraisal, Salary & Benefits",1k,40,--,18,9
WPP,3.0,313,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.1k,20,36,10,10
Accel IT Services,3.5,313,"Promotions / Appraisal, Salary & Benefits, Job Security",1.3k,20,12,5,--
Omnicom Media Group,3.1,313,"Promotions / Appraisal, Job Security, Work Satisfaction",1.9k,16,35,8,--
Paragon Digital Services,3.1,313,"Promotions / Appraisal, Skill Development / Learning, Company Culture",2k,22,--,30,--
Stellantis Avtec Powertrain,3.6,312,Skill Development / Learning,1.4k,13,--,19,4
Lincoln Pharmaceuticals,3.4,313,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.3k,21,12,28,--
Resurgent India,4.0,312,"Company Culture, Job Security, Work Life Balance",537,4,17,72,15
ProConnect Integrated Logistics,3.7,312,"Promotions / Appraisal, Work Satisfaction",1.3k,11,--,24,2
Toyota Financial Services,3.7,312,Job Security,1.1k,12,--,21,--
Creative Hands HR Consultancy,4.2,312,"Company Culture, Work Life Balance, Work Satisfaction",206,37,--,43,--
Vashi Integrated Solutions Limited,3.8,312,"Company Culture, Job Security",1.4k,23,119,25,11
Radiant Cash Management Services,3.3,312,"Promotions / Appraisal, Salary & Benefits, Company Culture",943,8,--,10,1
Fluentgrid,3.4,312,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.6k,26,4,27,--
Worldline,3.7,312,Work Life Balance,2.1k,41,4,1,15
Greentech Industries,3.8,313,Job Security,1.1k,17,2,36,5
Tenon Facility Management,3.5,312,"Promotions / Appraisal, Job Security, Skill Development / Learning",1.1k,21,--,16,--
Kalkine,4.2,311,"Work Life Balance, Company Culture, Work Satisfaction",870,19,--,30,30
Essar Projects India,3.7,311,Work Life Balance,749,9,--,50,--
CG Foods,3.6,311,"Promotions / Appraisal, Job Security, Skill Development / Learning",2.1k,12,17,19,2
TestingXperts,3.8,311,"Work Life Balance, Job Security",2.1k,49,--,23,21
Rio Tinto,3.5,311,Salary & Benefits,1.5k,46,--,25,6
Fexprime Finance,4.5,311,"Company Culture, Work Life Balance, Work Satisfaction",726,6,--,27,--
ABI Showatech,3.4,311,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",1k,10,--,31,--
Groz Engineering Tools,4.1,311,"Company Culture, Work Life Balance, Job Security",1.3k,20,8,28,6
Ubisoft Entertainment,3.6,311,"Work Life Balance, Company Culture, Job Security",1.9k,37,2,50,--
Cohizon Life Sciences Limited,3.4,311,"Job Security, Company Culture, Promotions / Appraisal",1.6k,24,6,17,--
Savex Technologies,4.1,311,"Company Culture, Job Security, Work Life Balance",1.3k,15,--,25,--
KnowledgeHut,4.4,310,"Company Culture, Work Life Balance, Work Satisfaction",784,12,--,4,--
Inlead Electronics,4.0,310,"Company Culture, Work Life Balance, Skill Development / Learning",1k,11,--,41,--
Lanco Infratech,4.5,310,"Work Satisfaction, Skill Development / Learning, Work Life Balance",642,3,--,51,--
Compunnel,3.5,310,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1.9k,21,3,19,7
Quintessence Business Solutions & Services,3.8,310,"Company Culture, Skill Development / Learning, Work Satisfaction",991,8,--,113,--
Frigorifico Allana,3.9,310,"Salary & Benefits, Company Culture",1k,11,--,35,--
ZF India Technology Center,3.7,310,"Job Security, Work Life Balance",2k,38,21,65,--
Modern V.R. Security Force,3.9,310,"Work Life Balance, Skill Development / Learning, Salary & Benefits",707,10,2,8,1
Bharat IT Services,3.3,310,"Promotions / Appraisal, Job Security, Salary & Benefits",1k,17,--,7,1
Laser Power & Infra,3.7,310,"Job Security, Promotions / Appraisal, Company Culture",1.1k,19,1,22,--
MSM Unify,3.9,310,"Work Life Balance, Company Culture, Work Satisfaction",449,63,--,19,--
Signutra (Health & Nutrition Division of Win - Medicare Pvt Ltd),4.4,310,"Company Culture, Work Satisfaction, Job Security",420,17,1,11,1
Princess Cruises,3.9,309,"Company Culture, Salary & Benefits",355,12,--,33,1
Moody's Analytics,4.0,309,"Work Life Balance, Salary & Benefits, Company Culture",2.3k,22,29,22,--
Alicon Castalloy,3.1,309,"Job Security, Company Culture, Work Life Balance",1.2k,11,--,28,--
Airtel DTH Services,4.0,309,"Company Culture, Work Satisfaction, Job Security",874,23,--,44,--
Darwinbox,3.6,309,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",2.2k,53,--,21,9
Electrical Research & Development Association,3.8,309,"Work Life Balance, Skill Development / Learning, Job Security",924,16,2,31,1
ZIM Laboratories,2.9,309,"Job Security, Promotions / Appraisal, Company Culture",1.3k,11,11,32,8
Annexmed,3.2,309,"Promotions / Appraisal, Job Security, Skill Development / Learning",1.3k,16,23,18,2
IQ BackOffice,3.5,310,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.5k,16,2,25,1
ILJIN ELECTRONICS,3.8,309,Skill Development / Learning,867,22,--,12,--
IM Gears,3.5,309,"Job Security, Promotions / Appraisal, Salary & Benefits",982,16,--,32,1
Deepak Phenolics,4.4,309,"Job Security, Company Culture, Skill Development / Learning",1.6k,26,21,31,4
Walsons Facility Solutions,3.9,308,"Work Life Balance, Salary & Benefits",1.1k,13,--,30,--
SPML Infra,3.9,308,"Company Culture, Work Life Balance, Work Satisfaction",809,22,23,24,--
Diya Systems,3.4,308,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.2k,23,--,47,--
Abbott Nutrition International,3.9,309,"Skill Development / Learning, Salary & Benefits",888,13,--,31,--
SNVA Group,3.5,308,"Promotions / Appraisal, Company Culture, Work Satisfaction",909,23,75,31,4
Genisys Group,3.6,308,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.3k,18,4,3,1
Cactus Communications,3.4,308,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.7k,54,3,36,11
NACL Industries,4.0,308,"Job Security, Work Life Balance, Company Culture",1k,28,8,22,1
Smart Value Products And Services,4.2,308,"Company Culture, Skill Development / Learning, Work Life Balance",600,17,--,42,6
Han Digital,2.6,308,"Job Security, Promotions / Appraisal, Company Culture",686,35,1.3k,1,--
Arya Omnitalk,3.8,308,"Work Life Balance, Job Security",957,18,16,3,1
Bnp Paribas Securities,3.7,307,"Job Security, Work Life Balance",1.9k,13,--,32,--
Zydus Hospital,4.2,307,"Job Security, Skill Development / Learning, Company Culture",1k,14,--,35,4
Ordnance Factory,4.3,307,"Work Life Balance, Company Culture, Work Satisfaction",575,11,1,25,1
Azure Power,3.9,307,"Salary & Benefits, Company Culture, Work Life Balance",1.2k,23,4,36,--
HostBooks,3.7,307,"Company Culture, Work Life Balance, Work Satisfaction",645,19,2,14,26
Hinduja Finance,3.9,307,Work Life Balance,969,12,--,15,1
Lion Engineering Consultants,3.5,307,"Promotions / Appraisal, Salary & Benefits, Company Culture",816,13,10,14,--
Aristocrat,3.8,307,"Work Life Balance, Company Culture",2.5k,60,29,33,--
Micro Plastics Private Limited,3.6,307,"Promotions / Appraisal, Work Satisfaction, Job Security",1.3k,30,6,31,11
MSD Pharmaceuticals,4.0,307,"Salary & Benefits, Company Culture, Work Life Balance",1.5k,29,30,32,--
SVC Co-Operative Bank,4.0,307,"Work Life Balance, Job Security, Company Culture",1.3k,17,4,25,--
Olectra Greentech,3.3,307,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.3k,24,17,21,--
KHY ELECTRONIC,3.9,307,"Skill Development / Learning, Work Life Balance, Work Satisfaction",990,30,--,21,17
Adani Gas,3.1,307,"Promotions / Appraisal, Company Culture, Salary & Benefits",1.4k,36,--,34,1
Hindustan Wellness,3.3,307,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",831,35,3,11,18
MARK EXHAUST SYSTEMS,4.1,307,"Work Life Balance, Job Security, Company Culture",1.1k,18,--,25,2
ABP Group,3.3,307,"Promotions / Appraisal, Job Security, Work Satisfaction",1.3k,8,--,40,--
Jms Mining Services,3.9,307,"Job Security, Salary & Benefits",971,34,--,27,--
UCO Bank,3.7,306,Job Security,871,20,--,36,2
Nissin Brake,4.2,306,"Company Culture, Work Life Balance, Job Security",840,12,--,55,--
Softcell Technologies,3.9,306,"Work Life Balance, Job Security, Company Culture",1.9k,23,18,16,--
Meitra Hospital,4.5,306,"Company Culture, Skill Development / Learning, Work Life Balance",356,15,--,8,2
"Nitor Infotech, an Ascendion company",4.2,306,"Company Culture, Skill Development / Learning, Work Life Balance",2k,51,8,14,237
Cavisson Systems,2.3,306,"Company Culture, Promotions / Appraisal, Salary & Benefits",1.9k,23,5,33,--
Mit World Peace University,3.9,306,"Job Security, Work Life Balance",1k,17,7,13,--
Jodas Expoim,3.3,306,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.3k,24,12,15,--
Sphinx Worldbiz,3.3,306,"Promotions / Appraisal, Work Satisfaction, Job Security",1.4k,36,--,10,1
Madina Group,4.5,306,"Company Culture, Work Life Balance, Work Satisfaction",515,24,--,46,--
Yum!,4.1,305,"Company Culture, Work Life Balance, Job Security",1.2k,18,10,40,--
Aksentt Tech Services,4.6,305,"Company Culture, Work Life Balance, Work Satisfaction",368,152,1,13,1
Kusum Healthcare,4.0,305,"Company Culture, Work Life Balance, Job Security",1.3k,14,2,34,7
MN Dastur & Company,4.0,305,"Company Culture, Work Life Balance, Job Security",730,11,1,43,--
DEC Infra,3.7,305,"Work Life Balance, Job Security, Promotions / Appraisal",1.3k,29,--,21,6
Manipal Technologies,4.0,305,"Work Life Balance, Job Security",1.8k,12,19,33,--
Ozone Pharmaceuticals,3.8,305,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",935,13,5,17,--
Universal Mep Projects & Engineering Services,3.6,306,Salary & Benefits,769,21,--,3,--
Asort Company,4.0,305,"Company Culture, Skill Development / Learning, Work Life Balance",381,19,--,7,1
Orix Auto Infrastructure Services,4.1,304,"Work Life Balance, Company Culture, Job Security",940,14,--,26,--
Military Engineer Services,4.5,304,"Work Life Balance, Company Culture, Work Satisfaction",649,13,--,29,--
Versuni India Home Solutions,3.4,304,"Promotions / Appraisal, Company Culture, Job Security",1.2k,17,--,5,1
Renom Energy Services,4.3,304,"Job Security, Skill Development / Learning, Company Culture",984,21,--,17,--
o9 Solutions,3.6,304,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",3.2k,48,5,24,3
Doha Petroleum Construction Company,3.8,304,"Job Security, Work Life Balance",645,24,--,14,--
Zeta,3.3,304,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",2.9k,80,109,21,4
Motherson Technology Services,3.2,304,Job Security,1.8k,30,8,1,7
Pulse Pharmaceuticals,3.4,304,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",896,15,17,27,23
Tata Marcopolo Motors,3.9,304,Promotions / Appraisal,1.1k,17,--,35,--
Aarti Steels,3.7,300,"Promotions / Appraisal, Company Culture, Job Security",1.3k,34,--,27,3
ATMECS Global,3.3,304,"Job Security, Promotions / Appraisal, Company Culture",2.4k,37,10,23,--
Ratnamani Metals and Tubes,4.2,304,"Job Security, Work Life Balance, Company Culture",1.2k,14,10,32,--
First Flight Couriers,4.4,303,"Skill Development / Learning, Company Culture, Work Life Balance",488,8,31,30,--
TIDC India,3.8,303,Skill Development / Learning,1.2k,12,--,32,--
Praxis Services,3.1,303,"Company Culture, Promotions / Appraisal, Work Satisfaction",938,27,6,27,1
ClaySys,3.9,303,"Job Security, Company Culture",919,72,13,3,4
JSW Steel Coated Products,3.8,303,"Job Security, Skill Development / Learning",1.1k,28,--,12,--
AI Variant,4.2,304,"Skill Development / Learning, Work Life Balance, Company Culture",1.4k,37,--,9,--
TATWA Technologies,3.2,302,"Promotions / Appraisal, Salary & Benefits, Company Culture",828,17,5,18,--
Van Heusen,4.0,302,"Company Culture, Work Life Balance, Skill Development / Learning",675,14,--,30,3
Pitney Bowes,3.7,302,"Work Life Balance, Salary & Benefits",1.9k,24,9,33,--
Sabre,4.0,302,"Work Life Balance, Company Culture, Salary & Benefits",2.2k,36,18,39,--
VXI Global Solutions,3.5,302,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",823,27,24,2,77
Hindustan Times,3.3,302,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",2k,17,1,32,--
Laxmi Civil Engineering Services,3.9,303,"Work Life Balance, Job Security",865,15,--,23,--
Silverskills,3.4,302,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1k,26,10,20,1
BOLD Technology Systems,3.0,302,"Job Security, Promotions / Appraisal, Skill Development / Learning",1.6k,41,15,29,11
HungerBox,3.8,302,"Promotions / Appraisal, Job Security, Work Satisfaction",1k,16,8,30,4
Equinox Labs,4.0,302,"Company Culture, Work Life Balance, Skill Development / Learning",883,43,4,24,--
INDIABULLS PHARMACEUTICALS,2.9,301,"Job Security, Company Culture, Work Satisfaction",577,13,--,28,--
Pharmed,4.8,301,"Company Culture, Work Satisfaction, Job Security",396,24,5,18,--
Teamlease Digital,3.4,575,"Promotions / Appraisal, Job Security, Skill Development / Learning",2.8k,31,--,48,--
Jaiprakash Power Ventures,4.0,301,"Job Security, Work Life Balance, Work Satisfaction",1.1k,30,--,10,8
Busibud,3.7,301,,127,43,--,7,--
Molecular Connections,3.1,301,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.4k,21,2,21,13
Dainik Jagran,3.4,301,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.1k,12,--,26,--
Columbia Petro Chem,4.1,301,"Salary & Benefits, Work Life Balance, Work Satisfaction",527,16,1,67,--
EXO Edge,3.6,301,"Skill Development / Learning, Company Culture, Work Life Balance",1.1k,39,11,8,28
Tata Play Fiber,3.9,305,"Salary & Benefits, Company Culture, Work Satisfaction",1.2k,15,1,16,--
Thomson Digital,3.9,300,"Work Life Balance, Salary & Benefits, Work Satisfaction",733,29,1,15,--
SGT University,3.6,300,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",992,22,5,19,3
Suburban Diagnostics,3.8,300,Skill Development / Learning,1k,10,--,28,--
Sarvagram Fincare,3.9,301,"Salary & Benefits, Skill Development / Learning, Company Culture",880,17,--,6,3
Amcor Flexibles India,3.7,300,Job Security,1.3k,14,--,35,--
Cliantha Research,4.0,300,"Job Security, Company Culture, Work Life Balance",1.3k,17,12,28,--
Embee Software,3.7,300,Promotions / Appraisal,1.2k,9,15,14,5
Cameo Corporate Services,3.3,300,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",1.2k,16,11,18,--
Irclass Systems And Solutions,4.2,301,"Company Culture, Work Life Balance, Work Satisfaction",889,32,8,18,--
Infiniti Software Solutions,4.5,304,"Job Security, Company Culture, Work Satisfaction",545,98,1,6,35
Murugappa Group,3.9,300,"Job Security, Skill Development / Learning",1.3k,19,54,35,5
Ang India,3.7,300,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",927,29,--,16,--
Altruist Customer Management India,4.0,300,"Skill Development / Learning, Company Culture, Work Life Balance",1.1k,29,--,20,--
Doubtnut,3.4,300,"Job Security, Promotions / Appraisal, Work Satisfaction",1.2k,39,--,28,3
Soma Enterprises,4.5,300,"Work Satisfaction, Work Life Balance, Job Security",743,7,--,49,--
Unibic Foods,3.7,300,Salary & Benefits,1k,14,--,22,--
Aurigene Pharmaceutical Services,4.2,304,"Company Culture, Work Life Balance, Skill Development / Learning",1.1k,27,22,19,1
Taal Tech India,3.9,299,"Work Life Balance, Company Culture, Work Satisfaction",1.5k,20,19,16,15
Hema Engineering Industries,4.0,299,"Work Satisfaction, Skill Development / Learning, Company Culture",1.1k,13,--,31,--
Metric Stream Infotech,3.2,299,"Job Security, Promotions / Appraisal, Work Satisfaction",2.2k,19,--,38,--
Nimbus Harbor Facilities Management,4.0,299,"Work Life Balance, Company Culture, Work Satisfaction",939,13,--,19,--
Fidelis Technology Services,3.3,299,"Promotions / Appraisal, Company Culture, Salary & Benefits",1.7k,18,3,12,--
Themis Medicare,3.7,299,"Promotions / Appraisal, Job Security, Skill Development / Learning",1k,14,--,14,--
Tata ClassEdge,3.5,299,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",917,14,18,32,--
Amrutanjan Health Care,4.0,299,"Company Culture, Work Life Balance",671,21,1,16,--
Sakon,3.0,299,"Promotions / Appraisal, Skill Development / Learning, Company Culture",1.8k,35,4,19,--
