Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Dabur,3.9,3.6k,Salary & Benefits,8.7k,324,19,275,5
JK Cement,4.0,3.6k,Salary & Benefits,9.8k,326,1,257,27
Samvardhana Motherson Group,3.7,3.6k,Job Security,12.1k,255,14,403,11
Bharat Electronics,4.2,3.6k,"Work Life Balance, Company Culture, Work Satisfaction",12.3k,242,--,312,1
Kotak Mahindara Life Insurance,3.5,3.6k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",12.3k,258,191,256,1
KPIT Technologies,3.0,3.6k,"Promotions / Appraisal, Job Security, Company Culture",22.8k,336,52,289,17
Abbott,4.1,3.6k,"Company Culture, Work Life Balance, Skill Development / Learning",11.8k,176,249,361,8
Altruist Technologies,4.4,3.6k,"Company Culture, Work Life Balance, Work Satisfaction",8.1k,529,9,83,6
Aarti Industries,4.0,3.5k,"Job Security, Work Life Balance, Company Culture",14.2k,324,2,351,6
Ipca Laboratories,3.9,3.5k,"Job Security, Work Life Balance, Company Culture",11.4k,196,41,245,3
Reliance Projects & Property Management Services,4.0,3.5k,"Work Life Balance, Job Security, Skill Development / Learning",7.2k,204,--,20,5
Indian Oil Corporation,4.3,3.5k,"Company Culture, Work Life Balance, Work Satisfaction",7.7k,233,--,290,31
MRF Tyres,3.6,3.5k,"Company Culture, Work Satisfaction, Work Life Balance",12.5k,364,12,345,8
Alkem Laboratories,3.9,3.5k,Salary & Benefits,9.7k,191,27,328,2
Reliance Digital,4.2,3.5k,"Skill Development / Learning, Job Security, Company Culture",8.1k,161,--,241,25
Johnson Controls,3.5,3.4k,"Promotions / Appraisal, Company Culture, Work Satisfaction",17.3k,299,4,266,28
"NTT DATA, Inc.",3.9,3.4k,"Work Life Balance, Company Culture, Job Security",21.2k,151,85,624,7
IGT Solutions,3.2,3.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",13.4k,248,67,213,14
Honda Motorcycle & Scooter,4.1,3.4k,"Job Security, Company Culture, Work Life Balance",11.1k,196,--,348,4
PhonePe,4.1,3.4k,"Salary & Benefits, Company Culture, Work Life Balance",12.7k,399,27,183,11
Vishal Mega Mart,3.7,3.4k,Salary & Benefits,6.1k,199,2,273,11
UNO Minda,4.0,3.4k,"Job Security, Company Culture, Skill Development / Learning",11.1k,243,15,279,5
Hindustan Coca Cola Beverages,4.0,3.4k,"Skill Development / Learning, Salary & Benefits, Company Culture",7.6k,169,37,377,4
ArcelorMittal Nippon Steel,4.1,3.3k,"Job Security, Work Life Balance, Company Culture",11.6k,267,27,111,6
Ford Motor,4.2,3.4k,"Company Culture, Work Life Balance, Salary & Benefits",15.1k,173,--,397,12
UBS,3.9,3.3k,"Work Life Balance, Company Culture",31.2k,368,1,117,11
24/7 Customer,3.4,3.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.5k,181,61,406,10
DTDC Express,3.7,3.3k,"Promotions / Appraisal, Salary & Benefits",8.5k,191,20,263,2
